"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 09월 13일","12,365,000","12,360,000","12,505,000","12,290,000","0.49K","0.04%"
"2020년 09월 12일","12,360,000","12,334,000","12,360,000","12,252,000","0.58K","0.23%"
"2020년 09월 11일","12,332,000","12,320,000","12,332,000","12,320,000","0.44K","0.10%"
"2020년 09월 10일","12,320,000","12,160,000","12,320,000","12,158,000","0.80K","1.32%"
"2020년 09월 09일","12,160,000","12,127,000","12,160,000","12,127,000","0.65K","0.28%"
"2020년 09월 08일","12,126,000","12,366,000","12,366,000","12,003,000","0.98K","-1.91%"
"2020년 09월 07일","12,362,000","12,356,000","12,362,000","11,943,000","0.97K","0.05%"
"2020년 09월 06일","12,356,000","12,368,000","12,368,000","12,214,000","0.75K","-0.06%"
"2020년 09월 05일","12,363,000","12,624,000","12,626,000","12,363,000","1.81K","-2.08%"
"2020년 09월 04일","12,625,000","12,296,000","12,625,000","12,296,000","1.85K","2.63%"
"2020년 09월 03일","12,301,000","13,580,000","13,580,000","12,301,000","3.17K","-9.38%"
"2020년 09월 02일","13,574,000","13,965,000","13,965,000","13,459,000","1.15K","-2.81%"
"2020년 09월 01일","13,967,000","13,732,000","13,967,000","13,732,000","1.40K","1.74%"
"2020년 08월 31일","13,728,000","13,654,000","13,728,000","13,654,000","0.62K","0.54%"
"2020년 08월 30일","13,654,000","13,432,000","13,654,000","13,432,000","0.60K","1.65%"
"2020년 08월 29일","13,432,000","13,521,000","13,529,000","13,432,000","0.46K","-0.67%"
"2020년 08월 28일","13,522,000","13,402,000","13,522,000","13,402,000","0.56K","0.81%"
"2020년 08월 27일","13,413,000","13,538,000","13,538,000","13,400,000","0.95K","-0.92%"
"2020년 08월 26일","13,538,000","13,475,000","13,538,000","13,475,000","0.57K","0.50%"
"2020년 08월 25일","13,471,000","13,842,000","13,842,000","13,471,000","1.51K","-2.68%"
"2020년 08월 24일","13,842,000","13,801,000","13,842,000","13,801,000","0.34K","0.30%"
"2020년 08월 23일","13,801,000","13,841,000","13,841,000","13,707,000","0.50K","-0.30%"
"2020년 08월 22일","13,843,000","13,767,000","13,843,000","13,559,000","0.60K","0.50%"
"2020년 08월 21일","13,774,000","13,944,000","13,944,000","13,774,000","1.39K","-1.22%"
"2020년 08월 20일","13,944,000","13,872,000","13,944,000","13,872,000","0.64K","0.52%"
"2020년 08월 19일","13,872,000","14,004,000","14,004,000","13,865,000","1.09K","-0.89%"
"2020년 08월 18일","13,996,000","14,181,000","14,222,000","13,996,000","1.10K","-1.30%"
"2020년 08월 17일","14,181,000","13,886,000","14,181,000","13,848,000","2.33K","2.12%"
"2020년 08월 16일","13,886,000","13,881,000","13,886,000","13,804,000","0.77K","0.10%"
"2020년 08월 15일","13,872,000","13,830,000","14,018,000","13,830,000","1.01K","0.30%"
"2020년 08월 14일","13,830,000","13,820,000","13,830,000","13,820,000","1.24K","0.10%"
"2020년 08월 13일","13,816,000","13,681,000","13,816,000","13,494,000","1.94K","0.99%"
"2020년 08월 12일","13,681,000","13,610,000","13,681,000","13,595,000","0.84K","0.52%"
"2020년 08월 11일","13,610,000","13,999,000","13,999,000","13,610,000","2.22K","-2.76%"
"2020년 08월 10일","13,997,000","13,813,000","13,997,000","13,813,000","0.80K","1.33%"
"2020년 08월 09일","13,813,000","13,868,000","13,872,000","13,813,000","0.69K","-0.40%"
"2020년 08월 08일","13,868,000","13,762,000","13,868,000","13,762,000","0.65K","0.77%"
"2020년 08월 07일","13,762,000","13,862,000","13,935,000","13,762,000","1.39K","-0.74%"
"2020년 08월 06일","13,865,000","13,851,000","13,865,000","13,851,000","0.89K","0.10%"
"2020년 08월 05일","13,851,000","13,310,000","13,851,000","13,310,000","1.17K","4.06%"
"2020년 08월 04일","13,310,000","13,273,000","13,361,000","13,273,000","0.71K","0.26%"
"2020년 08월 03일","13,275,000","13,034,000","13,275,000","13,034,000","1.19K","1.85%"
"2020년 08월 02일","13,034,000","13,934,000","13,934,000","13,034,000","1.08K","-6.46%"
"2020년 08월 01일","13,934,000","13,408,000","13,934,000","13,408,000","1.68K","3.92%"
"2020년 07월 31일","13,408,000","13,100,000","13,408,000","13,100,000","1.76K","2.35%"
"2020년 07월 30일","13,100,000","13,118,000","13,118,000","12,983,000","1.09K","-0.14%"
"2020년 07월 29일","13,118,000","12,761,000","13,118,000","12,761,000","1.66K","2.81%"
"2020년 07월 28일","12,760,000","12,913,000","13,074,000","12,760,000","1.42K","-1.16%"
"2020년 07월 27일","12,910,000","11,701,000","12,910,000","11,701,000","5.19K","10.33%"
"2020년 07월 26일","11,701,000","11,470,000","11,701,000","11,437,000","0.67K","2.01%"
"2020년 07월 25일","11,470,000","11,334,000","11,470,000","11,334,000","0.78K","1.20%"
"2020년 07월 24일","11,334,000","11,330,000","11,334,000","11,269,000","0.78K","0.04%"
"2020년 07월 23일","11,330,000","11,261,000","11,330,000","11,261,000","0.83K","0.64%"
"2020년 07월 22일","11,258,000","11,120,000","11,258,000","11,104,000","0.98K","1.24%"
"2020년 07월 21일","11,120,000","10,943,000","11,120,000","10,943,000","0.50K","1.62%"
"2020년 07월 20일","10,943,000","10,937,000","10,943,000","10,937,000","0.44K","0.03%"
"2020년 07월 19일","10,940,000","10,913,000","10,940,000","10,888,000","0.57K","0.31%"
